STUSPS,NAME,tot1950,tot1960,tot1970,tot1980,tot1990,tot2000,tot2010,Grand_Total
AL,Alabama,0,2,15,7,24,24,14,86
FL,Florida,1,7,11,7,28,52,13,119
GA,Georgia,2,5,10,1,14,16,16,64
KY,Kentucky,1,6,12,6,10,26,13,74
MS,Mississippi,1,4,13,8,13,17,8,64
NC,North Carolina,4,4,6,5,14,12,15,60
SC,South Carolina,2,0,1,2,5,11,10,31
TN,Tennessee,0,2,10,3,16,20,14,65
